uid,character_name,url,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld_name,rotation_period,orbital_period,diameter,climate,gravity,terrain,surface_water,population
1,Luke Skywalker,https://www.swapi.tech/api/people/1,172.0,77.0,blond,fair,blue,19BBY,male,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
2,C-3PO,https://www.swapi.tech/api/people/2,167.0,75.0,unknown,gold,yellow,112BBY,unknown,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
3,R2-D2,https://www.swapi.tech/api/people/3,96.0,32.0,unknown,"white, blue",red,33BBY,unknown,Naboo,26.0,312.0,12120,temperate,1 standard,"grassy hills, swamps, forests, mountains",12.0,4500000000.0
4,Darth Vader,https://www.swapi.tech/api/people/4,202.0,136.0,none,white,yellow,41.9BBY,male,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
5,Leia Organa,https://www.swapi.tech/api/people/5,150.0,49.0,brown,light,brown,19BBY,female,Alderaan,24.0,364.0,12500,temperate,1 standard,"grasslands, mountains",40.0,2000000000.0
6,Owen Lars,https://www.swapi.tech/api/people/6,178.0,120.0,"brown, grey",light,blue,52BBY,male,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
7,Beru Whitesun lars,https://www.swapi.tech/api/people/7,165.0,75.0,brown,light,blue,47BBY,female,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
8,R5-D4,https://www.swapi.tech/api/people/8,97.0,32.0,unknown,"white, red",red,unknown,unknown,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
9,Biggs Darklighter,https://www.swapi.tech/api/people/9,183.0,84.0,black,light,brown,24BBY,male,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
10,Obi-Wan Kenobi,https://www.swapi.tech/api/people/10,182.0,77.0,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,,,0,temperate,1 standard,grass,,
11,Anakin Skywalker,https://www.swapi.tech/api/people/11,188.0,84.0,blond,fair,blue,41.9BBY,male,Tatooine,23.0,304.0,10465,arid,1 standard,desert,1.0,200000.0
12,Wilhuff Tarkin,https://www.swapi.tech/api/people/12,180.0,,"auburn, grey",fair,blue,64BBY,male,Eriadu,24.0,360.0,13490,polluted,1 standard,cityscape,,22000000000.0
13,Chewbacca,https://www.swapi.tech/api/people/13,228.0,112.0,brown,unknown,blue,200BBY,male,Kashyyyk,26.0,381.0,12765,tropical,1 standard,"jungle, forests, lakes, rivers",60.0,45000000.0
14,Han Solo,https://www.swapi.tech/api/people/14,180.0,80.0,brown,fair,brown,29BBY,male,Corellia,25.0,329.0,11000,temperate,1 standard,"plains, urban, hills, forests",70.0,3000000000.0
15,Greedo,https://www.swapi.tech/api/people/15,173.0,74.0,unknown,green,black,44BBY,male,Rodia,29.0,305.0,7549,hot,1 standard,"jungles, oceans, urban, swamps",60.0,1300000000.0
16,Jabba Desilijic Tiure,https://www.swapi.tech/api/people/16,175.0,,unknown,"green-tan, brown",orange,600BBY,hermaphrodite,Nal Hutta,87.0,413.0,12150,temperate,1 standard,"urban, oceans, swamps, bogs",,7000000000.0
18,Wedge Antilles,https://www.swapi.tech/api/people/18,170.0,77.0,brown,fair,hazel,21BBY,male,Corellia,25.0,329.0,11000,temperate,1 standard,"plains, urban, hills, forests",70.0,3000000000.0
19,Jek Tono Porkins,https://www.swapi.tech/api/people/19,180.0,110.0,brown,fair,blue,unknown,male,Bestine IV,26.0,680.0,6400,temperate,unknown,"rocky islands, oceans",98.0,62000000.0
21,Palpatine,https://www.swapi.tech/api/people/21,170.0,75.0,grey,pale,yellow,82BBY,male,Naboo,26.0,312.0,12120,temperate,1 standard,"grassy hills, swamps, forests, mountains",12.0,4500000000.0
22,Boba Fett,https://www.swapi.tech/api/people/22,183.0,78.2,black,fair,brown,31.5BBY,male,Kamino,27.0,463.0,19720,temperate,1 standard,ocean,100.0,1000000000.0
24,Bossk,https://www.swapi.tech/api/people/24,190.0,113.0,none,green,red,53BBY,male,Trandosha,25.0,371.0,0,arid,0.62 standard,"mountains, seas, grasslands, deserts",,42000000.0
25,Lando Calrissian,https://www.swapi.tech/api/people/25,177.0,79.0,black,dark,brown,31BBY,male,Socorro,20.0,326.0,0,arid,1 standard,"deserts, mountains",,300000000.0
26,Lobot,https://www.swapi.tech/api/people/26,175.0,79.0,none,light,blue,37BBY,male,Bespin,12.0,5110.0,118000,temperate,"1.5 (surface), 1 standard (Cloud City)",gas giant,0.0,6000000.0
27,Ackbar,https://www.swapi.tech/api/people/27,180.0,83.0,none,brown mottle,orange,41BBY,male,Mon Cala,21.0,398.0,11030,temperate,1,"oceans, reefs, islands",100.0,27000000000.0
28,Mon Mothma,https://www.swapi.tech/api/people/28,150.0,,auburn,fair,blue,48BBY,female,Chandrila,20.0,368.0,13500,temperate,1,"plains, forests",40.0,1200000000.0
30,Wicket Systri Warrick,https://www.swapi.tech/api/people/30,88.0,20.0,brown,brown,brown,8BBY,male,Endor,18.0,402.0,4900,temperate,0.85 standard,"forests, mountains, lakes",8.0,30000000.0
31,Nien Nunb,https://www.swapi.tech/api/people/31,160.0,68.0,none,grey,black,unknown,male,Sullust,20.0,263.0,12780,superheated,1,"mountains, volcanoes, rocky deserts",5.0,18500000000.0
