2026-01-04 12:05:06,212 | INFO | app | SYSTEM_STARTUP: FastAPI starting...
2026-01-04 12:05:06,212 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-01-04 12:05:06,216 | INFO | apscheduler.scheduler | Added job "run_etl" to job store "default"
2026-01-04 12:05:06,216 | INFO | apscheduler.scheduler | Scheduler started
2026-01-04 12:05:06,216 | INFO | app | SCHEDULER_STARTED: ETL scheduler started
2026-01-04 12:06:06,222 | INFO | apscheduler.executors.default | Running job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:07:06 +04)" (scheduled at 2026-01-04 12:06:06.212950+04:00)
2026-01-04 12:06:06,224 | INFO | app | ETL_START: limit=30
2026-01-04 12:06:09,298 | INFO | app | ETL_SUCCESS: rows=30 file=C:\Users\bbuser\Desktop\data_engineering\data_engineering_real\data\merged_characters.csv
2026-01-04 12:06:09,300 | INFO | apscheduler.executors.default | Job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:07:06 +04)" executed successfully
2026-01-04 12:07:06,228 | INFO | apscheduler.executors.default | Running job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:08:06 +04)" (scheduled at 2026-01-04 12:07:06.212950+04:00)
2026-01-04 12:07:06,228 | INFO | app | ETL_START: limit=30
2026-01-04 12:07:10,346 | INFO | app | ETL_SUCCESS: rows=30 file=C:\Users\bbuser\Desktop\data_engineering\data_engineering_real\data\merged_characters.csv
2026-01-04 12:07:10,346 | INFO | apscheduler.executors.default | Job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:08:06 +04)" executed successfully
2026-01-04 12:08:06,218 | INFO | apscheduler.executors.default | Running job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:09:06 +04)" (scheduled at 2026-01-04 12:08:06.212950+04:00)
2026-01-04 12:08:06,218 | INFO | app | ETL_START: limit=30
2026-01-04 12:08:09,273 | INFO | app | ETL_SUCCESS: rows=30 file=C:\Users\bbuser\Desktop\data_engineering\data_engineering_real\data\merged_characters.csv
2026-01-04 12:08:09,274 | INFO | apscheduler.executors.default | Job "run_etl (trigger: interval[0:01:00], next run at: 2026-01-04 12:09:06 +04)" executed successfully
2026-01-04 12:08:39,941 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-01-04 12:08:39,942 | INFO | app | SYSTEM_SHUTDOWN: FastAPI stopped
