uid,name,url,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld
1,Luke Skywalker,https://www.swapi.tech/api/people/1,172,77,blond,fair,blue,19BBY,male,"{'character': 'Luke Skywalker', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
2,C-3PO,https://www.swapi.tech/api/people/2,167,75,n/a,gold,yellow,112BBY,n/a,"{'character': 'C-3PO', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
3,R2-D2,https://www.swapi.tech/api/people/3,96,32,n/a,"white, blue",red,33BBY,n/a,"{'character': 'R2-D2', 'name': 'Naboo', 'rotation_period': '26', 'orbital_period': '312', 'diameter': '12120', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'grassy hills, swamps, forests, mountains', 'surface_water': '12', 'population': '4500000000'}"
4,Darth Vader,https://www.swapi.tech/api/people/4,202,136,none,white,yellow,41.9BBY,male,"{'character': 'Darth Vader', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
5,Leia Organa,https://www.swapi.tech/api/people/5,150,49,brown,light,brown,19BBY,female,"{'character': 'Leia Organa', 'name': 'Alderaan', 'rotation_period': '24', 'orbital_period': '364', 'diameter': '12500', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'grasslands, mountains', 'surface_water': '40', 'population': '2000000000'}"
6,Owen Lars,https://www.swapi.tech/api/people/6,178,120,"brown, grey",light,blue,52BBY,male,"{'character': 'Owen Lars', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
7,Beru Whitesun lars,https://www.swapi.tech/api/people/7,165,75,brown,light,blue,47BBY,female,"{'character': 'Beru Whitesun lars', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
8,R5-D4,https://www.swapi.tech/api/people/8,97,32,n/a,"white, red",red,unknown,n/a,"{'character': 'R5-D4', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
9,Biggs Darklighter,https://www.swapi.tech/api/people/9,183,84,black,light,brown,24BBY,male,"{'character': 'Biggs Darklighter', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
10,Obi-Wan Kenobi,https://www.swapi.tech/api/people/10,182,77,"auburn, white",fair,blue-gray,57BBY,male,"{'character': 'Obi-Wan Kenobi', 'name': 'Stewjon', 'rotation_period': 'unknown', 'orbital_period': 'unknown', 'diameter': '0', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'grass', 'surface_water': 'unknown', 'population': 'unknown'}"
11,Anakin Skywalker,https://www.swapi.tech/api/people/11,188,84,blond,fair,blue,41.9BBY,male,"{'character': 'Anakin Skywalker', 'name': 'Tatooine', 'rotation_period': '23', 'orbital_period': '304', 'diameter': '10465', 'climate': 'arid', 'gravity': '1 standard', 'terrain': 'desert', 'surface_water': '1', 'population': '200000'}"
12,Wilhuff Tarkin,https://www.swapi.tech/api/people/12,180,unknown,"auburn, grey",fair,blue,64BBY,male,"{'character': 'Wilhuff Tarkin', 'name': 'Eriadu', 'rotation_period': '24', 'orbital_period': '360', 'diameter': '13490', 'climate': 'polluted', 'gravity': '1 standard', 'terrain': 'cityscape', 'surface_water': 'unknown', 'population': '22000000000'}"
13,Chewbacca,https://www.swapi.tech/api/people/13,228,112,brown,unknown,blue,200BBY,male,"{'character': 'Chewbacca', 'name': 'Kashyyyk', 'rotation_period': '26', 'orbital_period': '381', 'diameter': '12765', 'climate': 'tropical', 'gravity': '1 standard', 'terrain': 'jungle, forests, lakes, rivers', 'surface_water': '60', 'population': '45000000'}"
14,Han Solo,https://www.swapi.tech/api/people/14,180,80,brown,fair,brown,29BBY,male,"{'character': 'Han Solo', 'name': 'Corellia', 'rotation_period': '25', 'orbital_period': '329', 'diameter': '11000', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'plains, urban, hills, forests', 'surface_water': '70', 'population': '3000000000'}"
15,Greedo,https://www.swapi.tech/api/people/15,173,74,n/a,green,black,44BBY,male,"{'character': 'Greedo', 'name': 'Rodia', 'rotation_period': '29', 'orbital_period': '305', 'diameter': '7549', 'climate': 'hot', 'gravity': '1 standard', 'terrain': 'jungles, oceans, urban, swamps', 'surface_water': '60', 'population': '1300000000'}"
16,Jabba Desilijic Tiure,https://www.swapi.tech/api/people/16,175,"1,358",n/a,"green-tan, brown",orange,600BBY,hermaphrodite,"{'character': 'Jabba Desilijic Tiure', 'name': 'Nal Hutta', 'rotation_period': '87', 'orbital_period': '413', 'diameter': '12150', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'urban, oceans, swamps, bogs', 'surface_water': 'unknown', 'population': '7000000000'}"
18,Wedge Antilles,https://www.swapi.tech/api/people/18,170,77,brown,fair,hazel,21BBY,male,"{'character': 'Wedge Antilles', 'name': 'Corellia', 'rotation_period': '25', 'orbital_period': '329', 'diameter': '11000', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'plains, urban, hills, forests', 'surface_water': '70', 'population': '3000000000'}"
19,Jek Tono Porkins,https://www.swapi.tech/api/people/19,180,110,brown,fair,blue,unknown,male,"{'character': 'Jek Tono Porkins', 'name': 'Bestine IV', 'rotation_period': '26', 'orbital_period': '680', 'diameter': '6400', 'climate': 'temperate', 'gravity': 'unknown', 'terrain': 'rocky islands, oceans', 'surface_water': '98', 'population': '62000000'}"
20,Yoda,https://www.swapi.tech/api/people/20,66,17,white,green,brown,896BBY,male,"{'character': 'Yoda', 'name': 'unknown', 'rotation_period': '0', 'orbital_period': '0', 'diameter': '0', 'climate': 'unknown', 'gravity': 'unknown', 'terrain': 'unknown', 'surface_water': 'unknown', 'population': 'unknown'}"
21,Palpatine,https://www.swapi.tech/api/people/21,170,75,grey,pale,yellow,82BBY,male,"{'character': 'Palpatine', 'name': 'Naboo', 'rotation_period': '26', 'orbital_period': '312', 'diameter': '12120', 'climate': 'temperate', 'gravity': '1 standard', 'terrain': 'grassy hills, swamps, forests, mountains', 'surface_water': '12', 'population': '4500000000'}"
